aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,삼성,11110-73,0596,0000,1998, , , ,"24,500",19,4,2006, , ,84.93,4,596,1,N, 
 ,MID그린(1동),11110-94,0601,0000,2002, , , ,"16,000",29,4,2006, , ,59.55,4,601,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"36,700",5,4,2006, , ,84.92,10,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"57,300",20,4,2006, , ,114.9,14,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"40,500",22,4,2006, , ,84.92,13,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"52,600",5,4,2006, , ,114.9,2,82,1,N, 
 ,동대문,11110-30,0328,0017,1966, , , ,"14,900",20,4,2006, , ,28.8,3,328-17,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"20,300",18,4,2006, , ,79.87,13,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"20,000",23,4,2006, , ,79.87,4,702,1,N, 
 ,송림아마레스아파트,11110-121,0009,0001,2004, , , ,"22,000",24,4,2006, , ,84.42,3,9-1,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"41,600",27,4,2006, , ,84.92,11,82,1,N, 
 ,세종,11110-13,0100,0000,1983, , , ,"28,000",25,4,2006, , ,104.73,3,100,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"18,400",11,4,2006, , ,59.97,14,596,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"16,500",28,4,2006, , ,54.7,12,702,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"23,000",20,4,2006, , ,79.87,7,702,1,N, 
 ,동대문,11110-30,0328,0017,1966, , , ,"14,500",15,4,2006, , ,28.8,5,328-17,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"44,700",21,4,2006, , ,84.92,16,82,1,N, 
 ,창신이수,11110-42,0023,0816,2003, , , ,"25,000",28,4,2006, , ,84.5,2,23-816,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"15,000",3,4,2006, , ,64.66,8,703,1,N, 
 ,경희궁의아침3단지,11110-116,0072,0000,2004, , , ,"108,000",21,4,2006, , ,150.48,11,72,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,200",13,4,2006, , ,106.62,5,703,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"22,400",12,4,2006, , ,59.95,11,232,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"15,000",15,4,2006, , ,48.54,5,55,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"15,000",3,4,2006, , ,54.7,12,703,1,N, 
 ,롯데낙천대,11110-71,0072,0000,2001, , , ,"59,000",13,4,2006, , ,110.53,6,72,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"35,500",20,4,2006, , ,103.77,5,95,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,000",11,4,2006, , ,106.62,4,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"21,600",6,4,2006, , ,79.87,11,702,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"16,500",17,4,2006, , ,54.7,6,702,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"34,750",3,4,2006, , ,84.9,6,232,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"15,900",5,4,2006, , ,54.7,9,702,1,N, 
 ,낙원,11110-17,0288,0000,1968, , , ,"12,000",10,4,2006, , ,68.89,14,288,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"21,500",1,4,2006, , ,79.87,7,703,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"23,500",8,5,2006, , ,84.93,15,596,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"85,000",11,5,2006, , ,117.26,11,95,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"34,000",25,5,2006, , ,84.92,4,82,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"74,300",2,5,2006, , ,117.26,5,95,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"45,800",16,5,2006, , ,84.92,17,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"59,500",9,5,2006, , ,114.9,15,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"44,300",26,5,2006, , ,84.92,13,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"39,400",27,5,2006, , ,84.92,12,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"21,500",30,5,2006, , ,79.87,3,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"15,400",25,5,2006, , ,64.66,8,703,1,N, 
 ,동대문상가,11110-32,0436,0064,1968, , , ,"19,500",17,5,2006, , ,40.87,4,436-64,1,N, 
 ,건양하늘터,11110-2128,0023,0000,2006, , , ,"32,788",22,5,2006, , ,84.89,1,23,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"20,000",25,5,2006, , ,79.87,12,703,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"14,800",25,5,2006, , ,46.64,3,55,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"42,500",24,5,2006, , ,84.92,7,82,1,N, 
