동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"17,148", , ,21.0,5,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"13,436", , ,15.79,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"13,603", , ,16.17,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"8,287", , ,16.17,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,605", , ,17.9,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"8,287", , ,16.17,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"13,603", , ,16.17,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"17,148", , ,21.0,4,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"8,186", , ,15.79,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"8,287", , ,16.17,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"18,873", , ,21.37,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,522", , ,25.1,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,702", , ,16.17,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,702", , ,16.17,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"18,533", , ,21.0,3,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,521", , ,15.79,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"8,287", , ,16.17,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"19,285", , ,21.37,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"14,522", , ,25.1,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"15,022", , ,16.17,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"15,022", , ,16.17,2,36-1,1,N, ,2020-10-18
 ,하이텍하우스,11110-2290,36,1,2011, ,O,"10,447", , ,21.0,2,36-1,1,N, ,2020-10-18
 ,대성아파트,11110-52,41,1,1971, , ,"22,000", , ,45.39,5,41-1,1,N, ,2020-10-15
 ,도시그린빌라,11110-44,181,121,1997, , ,"18,000", , ,44.4,6,181-121,1,N, ,2020-10-13
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"173,000", , ,84.944,9,199,1,N, ,2020-10-24
 ,아남1,11110-25,4,0,1995, , ,"95,800", , ,84.9,11,4,1,N, ,2020-10-11
 ,동대문,11110-30,328,17,1966, , ,"41,300", , ,28.8,3,328-17,1,N, ,2020-10-21
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"154,000", , ,158.99,6,9,1,N, ,2020-10-22
 ,숭인상가,11110-48,204,11,1979, , ,"45,500", , ,80.85,7,204-11,1,N, ,2020-10-03
 ,두산,11110-34,232,0,1999, , ,"72,000", , ,59.95,11,232,1,N, ,2020-10-23
 ,동대문,11110-30,328,17,1966, , ,"37,800", , ,28.8,4,328-17,1,N, ,2020-10-25
 ,창신쌍용2,11110-91,703,0,1993, , ,"64,800", , ,64.66,13,703,1,N, ,2020-10-18
 ,롯데캐슬로잔,11110-2246,108,0,2009, , ,"149,000", , ,190.743,5,108,1,N, ,2020-10-23
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"125,000", , ,146.39,4,95,1,N, ,2020-10-20
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"113,000", , ,84.2427,3,88,1,N, ,2020-10-18
 ,갑을아파트,11110-68,595,0,1997, , ,"18,500", , ,30.46,6,595,1,N, ,2020-10-03
 ,CS타워,11110-2291,62,2,2011, , ,"15,100", , ,21.94,9,62-2,1,N, ,2020-10-19
 ,포레스트힐시티,11110-2440,65,2,2017, , ,"22,300", , ,20.3861,7,65-2,1,N, ,2020-10-19
 ,창신이수,11110-42,23,816,2003, , ,"72,500", , ,68.06,17,23-816,1,N, ,2020-10-09
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"12,000", , ,16.67,9,296-19,1,N, ,2020-10-15
 ,MID그린(9동),11110-95,601,6,2002, , ,"35,000", , ,59.9,3,601-6,1,N, ,2020-10-13
 ,종로동광모닝스카이,11110-2343,1421,1,2013, , ,"11,700", , ,15.855,16,1421-1,1,N, ,2020-10-06
 ,종로센트레빌,11110-2224,2,1,2008, , ,"100,000", , ,114.67,4,2-1,1,N, ,2020-10-06
 ,경희궁자이(4단지),11110-2464,126,0,2017, , ,"109,000", , ,45.879,18,126,1,N, ,2020-11-28
 ,현대,11110-90,82,0,2000, , ,"118,450", , ,114.9,4,82,1,N, ,2020-11-29
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"32,000", , ,48.54,4,55,1,N, ,2020-11-28
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"180,000", , ,84.836,6,233,1,N, ,2020-11-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"127,000", , ,84.858,13,60,1,N, ,2020-11-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"123,000", , ,84.858,6,60,1,N, ,2020-11-27
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"82,000", , ,59.9426,6,766,1,N, ,2020-11-29
 ,경희궁자이(4단지),11110-2464,126,0,2017, , ,"106,200", , ,45.879,10,126,1,N, ,2020-11-18
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"145,000", , ,158.99,2,9,1,N, ,2020-11-25
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"127,000", , ,59.6737,3,89,1,N, ,2020-11-28
 ,두산,11110-34,232,0,1999, , ,"91,300", , ,84.9,7,232,1,N, ,2020-11-23
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"117,500", , ,84.9775,3,88,1,N, ,2020-11-23
 ,종로센트레빌,11110-2224,2,1,2008, , ,"84,500", , ,59.92,5,2-1,1,N, ,2020-11-30
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"89,000", , ,149.72,5,110,1,N, ,2020-11-16
 ,창신쌍용1,11110-37,702,0,1992, , ,"76,000", , ,79.87,11,702,1,N, ,2020-11-21
 ,롯데캐슬로잔,11110-2246,108,0,2009, , ,"164,500", , ,239.484,10,108,1,N, ,2020-11-17
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"150,000", , ,84.836,17,199,1,N, ,2020-11-11
 ,두산,11110-34,232,0,1999, , ,"85,500", , ,84.9,1,232,1,N, ,2020-11-20
 ,르트랑시망,11110-2211,102,0,2008, , ,"79,500", , ,135.58,5,102,1,N, ,2020-11-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"85,900", , ,106.62,4,703,1,N, ,2020-11-21
 ,롯데캐슬로잔,11110-2246,108,0,2009, , ,"155,000", , ,190.743,5,108,1,N, ,2020-11-07
 ,대성아파트,11110-52,41,1,1971, , ,"40,000", , ,94.94,7,41-1,1,N, ,2020-11-07
 ,리치캐슬아파트,11110-128,33,85,2003, , ,"58,000", , ,83.22,6,33-85,1,N, ,2020-11-18
 ,현대,11110-90,82,0,2000, , ,"102,490", , ,84.92,1,82,1,N, ,2020-11-21
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"149,900", , ,158.99,13,9,1,N, ,2020-11-25
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"145,000", , ,158.99,5,9,1,N, ,2020-11-25
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"145,000", , ,59.755,7,233,1,N, ,2020-11-08
 ,창신쌍용2,11110-91,703,0,1993, , ,"65,500", , ,64.66,7,703,1,N, ,2020-11-10
 ,창신쌍용1,11110-37,702,0,1992, , ,"73,800", , ,79.87,10,702,1,N, ,2020-11-14
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"178,000", , ,84.614,14,199,1,N, ,2020-11-14
 ,두산,11110-34,232,0,1999, , ,"91,000", , ,84.9,7,232,1,N, ,2020-11-25
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"142,000", , ,114.931,13,60,1,N, ,2020-11-11
 ,성용,11110-36,640,252,1994, , ,"30,000", , ,58.23,1,640-252,1,N, ,2020-11-18
 ,두산,11110-34,232,0,1999, , ,"91,000", , ,84.9,8,232,1,N, ,2020-11-17
 ,신문로맨션,11110-15,238,0,1981, , ,"81,000", , ,98.31,8,238,1,N, ,2020-11-08
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"155,000", , ,59.855,13,199,1,N, ,2020-11-17
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"169,500", , ,84.614,16,199,1,N, ,2020-11-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"83,500", , ,106.62,7,703,1,N, ,2020-11-12
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"137,000", , ,114.931,6,60,1,N, ,2020-11-06
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"134,000", , ,94.51,12,9,1,N, ,2020-11-23
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"61,000", , ,47.43,4,237,1,N, ,2020-11-25
 ,두산,11110-34,232,0,1999, , ,"75,500", , ,59.95,9,232,1,N, ,2020-11-10
 ,노블레스빌,11110-80,155,1,2002, , ,"103,000", , ,241.55,2,155-1,1,N, ,2020-11-05
 ,아남1,11110-25,4,0,1995, , ,"104,500", , ,84.9,12,4,1,N, ,2020-11-01
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"162,000", , ,158.99,10,9,1,N, ,2020-11-03
 ,CS타워,11110-2291,62,2,2011, , ,"14,000", , ,22.17,9,62-2,1,N, ,2020-11-21
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"80,000", , ,84.64,14,48-2,1,N, ,2020-11-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"83,000", , ,115.53,13,703,1,N, ,2020-11-02
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"146,000", , ,59.895,5,199,1,N, ,2020-11-07
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"138,000", , ,114.931,7,60,1,N, ,2020-11-11
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"110,000", , ,84.2427,6,88,1,N, ,2020-11-09
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"121,500", , ,84.2395,6,88,1,N, ,2020-11-09
 ,세종,11110-13,100,0,1983, , ,"72,500", , ,91.68,5,100,1,N, ,2020-11-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"65,000", , ,64.66,11,703,1,N, ,2020-11-14
 ,창신쌍용1,11110-37,702,0,1992, , ,"65,000", , ,54.7,13,702,1,N, ,2020-11-10
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"165,000", , ,158.99,14,9,1,N, ,2020-11-03
 ,세종,11110-13,100,0,1983, , ,"85,000", , ,102.64,8,100,1,N, ,2020-11-09
 ,창신쌍용2,11110-91,703,0,1993, , ,"65,800", , ,64.66,5,703,1,N, ,2020-11-14
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"124,000", , ,59.6737,9,89,1,N, ,2020-11-13
 ,광화문스페이스본(106동),11110-2204,9,1,2008, , ,"169,500", , ,153.42,6,9-1,1,N, ,2020-11-10
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"113,000", , ,84.858,2,60,1,N, ,2020-11-07
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"14,500", , ,15.09,17,318-2,1,N, ,2020-11-10
 ,이화에수풀,11110-2359,195,10,2014, , ,"23,000", , ,19.86,10,195-10,1,N, ,2020-11-01
 ,건양하늘터,11110-2128,23,0,2006, , ,"84,000", , ,84.78,1,23,1,N, ,2020-12-24
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"145,000", , ,172.17,3,237,1,N, ,2020-12-30
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"85,500", , ,59.9426,8,766,1,N, ,2020-12-31
 ,구암하이빌,11110-89,105,22,2002, , ,"30,000", , ,75.89,2,105-22,1,N, ,2020-12-29
 ,창신쌍용1,11110-37,702,0,1992, , ,"68,000", , ,54.7,11,702,1,N, ,2020-12-23
 ,창신쌍용1,11110-37,702,0,1992, , ,"80,700", , ,79.87,4,702,1,N, ,2020-12-19
 ,삼성,11110-73,596,0,1998, , ,"68,000", , ,84.93,8,596,1,N, ,2020-12-17
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"183,000", , ,84.836,9,233,1,N, ,2020-12-31
 ,이화에수풀,11110-2359,195,10,2014, , ,"19,000", , ,16.98,9,195-10,1,N, ,2020-12-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"69,500", , ,54.7,10,702,1,N, ,2020-12-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"122,000", , ,84.858,2,60,1,N, ,2020-12-26
 ,창신이수,11110-42,23,816,2003, , ,"80,000", , ,120.84,8,23-816,1,N, ,2020-12-23
 ,현대,11110-90,82,0,2000, , ,"108,950", , ,84.92,2,82,1,N, ,2020-12-23
 ,현대,11110-90,82,0,2000, , ,"87,490", , ,60.0,6,82,1,N, ,2020-12-23
 ,르트랑시망,11110-2211,102,0,2008, , ,"105,500", , ,135.17,3,102,1,N, ,2020-12-24
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"174,000", , ,84.836,4,199,1,N, ,2020-12-20
 ,롯데낙천대,11110-71,72,0,2001, , ,"120,000", , ,133.34,14,72,1,N, ,2020-12-14
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"133,500", , ,84.858,17,60,1,N, ,2020-12-19
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"123,000", , ,84.858,5,60,1,N, ,2020-12-16
 ,현대,11110-90,82,0,2000, , ,"117,960", , ,84.92,18,82,1,N, ,2020-12-12
 ,삼성,11110-73,596,0,1998, , ,"69,500", , ,84.93,10,596,1,N, ,2020-12-18
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"176,000", , ,84.944,4,199,1,N, ,2020-12-19
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"185,000", , ,84.614,9,199,1,N, ,2020-12-21
 ,청운현대,11110-4,56,45,2000, , ,"125,000", , ,129.76,3,56-45,1,N, ,2020-12-24
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"124,000", , ,59.6737,12,89,1,N, ,2020-12-18
 ,현대,11110-90,82,0,2000, , ,"119,950", , ,114.9,2,82,1,N, ,2020-12-09
 ,경희궁자이(2단지),11110-2445,199,0,2017, ,O,"171,000", , ,84.614,8,199,1,N, ,2020-12-02
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"187,000", , ,84.836,11,233,1,N, ,2020-12-10
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"200,000", , ,158.99,8,9,1,N, ,2020-12-11
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"137,000", , ,114.931,3,60,1,N, ,2020-12-16
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"124,000", , ,84.2395,5,88,1,N, ,2020-12-21
 ,아남1,11110-25,4,0,1995, , ,"118,000", , ,84.9,14,4,1,N, ,2020-12-05
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"184,000", , ,84.614,6,199,1,N, ,2020-12-14
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"100,000", , ,114.7153,1,766,1,N, ,2020-12-19
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"128,000", , ,94.51,1,9,1,N, ,2020-12-05
 ,창신쌍용2,11110-91,703,0,1993, , ,"64,500", , ,64.66,2,703,1,N, ,2020-12-02
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"235,000", , ,116.986,4,199,1,N, ,2020-12-08
 ,디팰리스,11110-2539,171,0,2020, , ,"230,000", , ,118.749,11,171,1,N, ,2020-12-02
 ,부암스카이뷰,11110-150,218,1,2004, , ,"46,500", , ,76.65,3,218-1,1,N, ,2020-12-05
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"65,000", , ,47.43,7,237,1,N, ,2020-12-05
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"64,800", , ,50.49,4,237,1,N, ,2020-12-19
 ,갑을아파트,11110-68,595,0,1997, , ,"18,500", , ,30.46,8,595,1,N, ,2020-12-04
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"132,000", , ,94.28,12,9,1,N, ,2020-12-03
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"116,000", , ,84.858,2,60,1,N, ,2020-12-05
 ,두산,11110-34,232,0,1999, , ,"90,500", , ,84.9,10,232,1,N, ,2020-12-10
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"139,500", , ,114.931,11,60,1,N, ,2020-12-06
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"111,000", , ,70.8,3,9,1,N, ,2020-12-03
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"122,000", , ,137.55,9,110,1,N, ,2020-12-04
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"157,000", , ,84.8792,6,89,1,N, ,2020-12-17
 ,현대,11110-90,82,0,2000, , ,"111,950", , ,114.9,2,82,1,N, ,2020-12-04
 ,두산,11110-34,232,0,1999, , ,"94,000", , ,84.9,4,232,1,N, ,2020-12-05
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"141,500", , ,158.99,2,9,1,N, ,2020-12-10
 ,롯데캐슬로잔,11110-2246,108,0,2009, , ,"173,000", , ,219.775,4,108,1,N, ,2020-12-11
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"178,000", , ,84.614,2,199,1,N, ,2020-12-12
 ,두산,11110-34,232,0,1999, , ,"91,500", , ,84.9,17,232,1,N, ,2020-12-03
 ,경희궁자이(2단지),11110-2445,199,0,2017, ,O,"178,000", , ,84.614,2,199,1,N, ,2020-12-12
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"147,000", , ,59.755,7,233,1,N, ,2020-12-13
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"64,800", , ,103.07,2,33-1,1,N, ,2020-12-01
 ,동대문맨션,11110-31,578,5,1973, , ,"60,000", , ,158.18,9,578-5,1,N, ,2020-12-04
 ,포레스트힐시티,11110-2440,65,2,2017, , ,"26,500", , ,18.505,6,65-2,1,N, ,2020-12-09
 ,롯데낙천대,11110-71,72,0,2001, , ,"83,000", , ,87.27,12,72,1,N, ,2020-12-04
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"11,500", , ,16.67,8,296-19,1,N, ,2020-12-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"73,000", , ,79.87,5,703,1,N, ,2020-12-02
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"110,000", , ,114.7153,13,766,1,N, ,2020-12-01
 ,현대,11110-90,82,0,2000, , ,"89,970", , ,60.0,11,82,1,N, ,2020-12-05
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"180,000", , ,84.614,19,233,1,N, ,2020-12-01
 ,종로센트레빌,11110-2224,2,1,2008, , ,"81,000", , ,59.92,7,2-1,1,N, ,2020-12-01
 ,종로중흥S클래스,11110-2339,202,3,2013, , ,"13,500", , ,19.466,14,202-3,1,N, ,2020-12-02
 ,이화에수풀,11110-2359,195,10,2014, , ,"19,000", , ,16.98,8,195-10,1,N, ,2020-12-01
 ,이화에수풀,11110-2359,195,10,2014, ,O,"19,000", , ,16.98,8,195-10,1,N, ,2020-12-01
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"180,000", , ,123.13,13,72,1,N, ,2021-01-17
 ,경희궁의아침2단지,11110-115,71,0,2004, , ,"175,000", , ,174.55,4,71,1,N, ,2021-01-15
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"175,000", , ,84.907,4,199,1,N, ,2021-01-09
 ,현대,11110-90,82,0,2000, , ,"112,400", , ,84.92,6,82,1,N, ,2021-01-02
 ,현대,11110-90,82,0,2000, , ,"86,500", , ,60.0,1,82,1,N, ,2021-01-17
 ,할리우드파크아파트,11110-2364,56,135,2014, , ,"53,000", , ,69.94,2,56-135,1,N, ,2021-01-30
 ,창신쌍용2,11110-91,703,0,1993, , ,"74,000", , ,79.87,7,703,1,N, ,2021-01-28
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"86,500", , ,84.98,9,48-2,1,N, ,2021-01-25
 ,현대,11110-90,82,0,2000, , ,"109,990", , ,84.92,9,82,1,N, ,2021-01-30
 ,할리우드파크아파트,11110-2364,56,135,2014, , ,"52,000", , ,75.25,4,56-135,1,N, ,2021-01-25
 ,두산,11110-34,232,0,1999, , ,"92,000", , ,84.9,5,232,1,N, ,2021-01-19
 ,두산,11110-34,232,0,1999, , ,"102,000", , ,84.9,6,232,1,N, ,2021-01-25
 ,창림,11110-111,639,20,1994, , ,"32,000", , ,59.67,4,639-20,1,N, ,2021-01-26
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"12,000", , ,15.09,14,318-2,1,N, ,2021-01-30
 ,일성빌라트,11110-77,145,5,1996, , ,"67,900", , ,84.99,5,145-5,1,N, ,2021-01-18
 ,현대,11110-90,82,0,2000, ,O,"86,470", , ,60.0,1,82,1,N, ,2021-01-17
 ,CS타워,11110-2291,62,2,2011, , ,"15,000", , ,22.17,7,62-2,1,N, ,2021-01-23
 ,창신쌍용1,11110-37,702,0,1992, , ,"63,500", , ,54.7,9,702,1,N, ,2021-01-29
 ,엘리시아,11110-2261,66,1,2009, , ,"123,000", , ,236.07,5,66-1,1,N, ,2021-01-12
 ,종로동광모닝스카이,11110-2343,1421,1,2013, , ,"10,800", , ,15.855,11,1421-1,1,N, ,2021-01-13
 ,창신쌍용1,11110-37,702,0,1992, , ,"73,000", , ,79.87,2,702,1,N, ,2021-01-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"64,000", , ,64.66,4,703,1,N, ,2021-01-23
 ,창신이수,11110-42,23,816,2003, , ,"83,500", , ,84.5,9,23-816,1,N, ,2021-01-23
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"127,000", , ,149.8,11,110,1,N, ,2021-01-25
 ,경희궁의아침2단지,11110-115,71,0,2004, ,O,"175,000", , ,174.55,4,71,1,N, ,2021-01-15
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"160,000", , ,172.17,8,237,1,N, ,2021-01-12
 ,창신쌍용2,11110-91,703,0,1993, , ,"74,000", , ,79.87,14,703,1,N, ,2021-01-16
 ,현대,11110-90,82,0,2000, , ,"116,000", , ,84.92,14,82,1,N, ,2021-01-14
 ,청운현대,11110-4,56,45,2000, , ,"130,000", , ,129.76,2,56-45,1,N, ,2021-01-14
 ,창신쌍용2,11110-91,703,0,1993, , ,"67,500", , ,64.66,7,703,1,N, ,2021-01-16
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"135,000", , ,59.6737,13,89,1,N, ,2021-01-22
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"190,000", , ,84.836,7,233,1,N, ,2021-01-07
 ,광화문스페이스본(106동),11110-2204,9,1,2008, , ,"150,000", , ,144.52,6,9-1,1,N, ,2021-01-07
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"29,500", , ,45.5,4,55,1,N, ,2021-01-26
 ,경희궁자이(2단지),11110-2445,199,0,2017, ,O,"175,000", , ,84.907,4,199,1,N, ,2021-01-09
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"160,000", , ,172.17,8,237,1,N, ,2021-01-22
 ,아남1,11110-25,4,0,1995, , ,"110,000", , ,84.9,7,4,1,N, ,2021-01-12
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"120,000", , ,114.931,9,60,1,N, ,2021-01-27
 ,종로센트레빌,11110-2224,2,1,2008, , ,"81,000", , ,59.92,3,2-1,1,N, ,2021-01-14
 ,현대,11110-90,82,0,2000, , ,"89,970", , ,60.0,4,82,1,N, ,2021-01-09
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"138,000", , ,59.6737,4,89,1,N, ,2021-01-15
 ,삼성,11110-73,596,0,1998, , ,"70,000", , ,84.93,6,596,1,N, ,2021-01-09
 ,창신쌍용2,11110-91,703,0,1993, , ,"61,500", , ,54.7,8,703,1,N, ,2021-01-27
 ,대성아파트,11110-52,41,1,1971, , ,"16,000", , ,30.28,1,41-1,1,N, ,2021-01-23
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"84,000", , ,59.9426,8,766,1,N, ,2021-01-11
 ,현대,11110-90,82,0,2000, ,O,"112,400", , ,84.92,6,82,1,N, ,2021-01-02
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"125,000", , ,84.0283,4,88,1,N, ,2021-01-09
 ,경희궁의아침3단지,11110-116,72,0,2004, ,O,"180,000", , ,123.13,13,72,1,N, ,2021-01-17
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"29,800", , ,45.5,5,55,1,N, ,2021-01-07
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"107,750", , ,111.73,5,76,1,N, ,2021-01-04
 ,경희궁자이(4단지),11110-2464,126,0,2017, , ,"114,000", , ,45.879,17,126,1,N, ,2021-01-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"88,000", , ,115.53,2,703,1,N, ,2021-01-02
 ,송림아마레스아파트,11110-127,2,12,2003, , ,"63,000", , ,84.62,1,2-12,1,N, ,2021-01-15
 ,일우,11110-130,602,0,2002, , ,"31,000", , ,59.3,4,602,1,N, ,2021-01-18
 ,창신쌍용2,11110-91,703,0,1993, , ,"65,000", , ,64.66,14,703,1,N, ,2021-01-02
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"130,000", , ,84.858,13,60,1,N, ,2021-02-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"144,000", , ,84.858,13,60,1,N, ,2021-02-28
 ,종로센트레빌,11110-2224,2,1,2008, , ,"98,000", , ,59.92,8,2-1,1,N, ,2021-02-27
 ,경희궁자이(2단지),11110-2445,199,0,2017, , ,"185,000", , ,84.836,21,199,1,N, ,2021-02-24
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"120,000", , ,84.858,2,60,1,N, ,2021-02-27
 ,경희궁롯데캐슬,11110-2519,89,0,2019, , ,"151,000", , ,84.8792,1,89,1,N, ,2021-02-25
 ,현대,11110-90,82,0,2000, , ,"124,950", , ,84.92,10,82,1,N, ,2021-02-20
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"120,000", , ,84.858,2,60,1,N, ,2021-02-20
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"140,000", , ,114.931,11,60,1,N, ,2021-02-20
 ,경희궁자이(3단지),11110-2446,233,0,2017, , ,"185,000", , ,84.836,17,233,1,N, ,2021-02-15
 ,창신쌍용1,11110-37,702,0,1992, , ,"64,000", , ,54.7,10,702,1,N, ,2021-02-28
 ,창신이수,11110-42,23,816,2003, , ,"74,800", , ,68.06,6,23-816,1,N, ,2021-02-22
 ,경희궁자이(4단지),11110-2464,126,0,2017, , ,"89,500", , ,37.2635,11,126,1,N, ,2021-02-20
