동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,청호그린빌,11110-210,40,0,1999, , ,"3,600", , ,29.76,3,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"3,400", , ,26.64,3,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"3,600", , ,29.76,2,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"8,400", , ,56.4,1,40,1,N, ,2006-04-30
 ,현대,11110-90,82,0,2000, , ,"27,350", , ,60.0,14,82,1,N, ,2006-04-11
 ,현대,11110-90,82,0,2000, , ,"41,300", , ,84.92,6,82,1,N, ,2006-04-06
 ,두산,11110-34,232,0,1999, , ,"39,000", , ,84.9,11,232,1,N, ,2006-04-27
 ,삼성,11110-73,596,0,1998, , ,"24,500", , ,84.93,4,596,1,N, ,2006-04-19
 ,MID그린(1동),11110-94,601,0,2002, , ,"16,000", , ,59.55,4,601,1,N, ,2006-04-29
 ,현대,11110-90,82,0,2000, , ,"36,700", , ,84.92,10,82,1,N, ,2006-04-05
 ,현대,11110-90,82,0,2000, , ,"57,300", , ,114.9,14,82,1,N, ,2006-04-20
 ,현대,11110-90,82,0,2000, , ,"40,500", , ,84.92,13,82,1,N, ,2006-04-22
 ,현대,11110-90,82,0,2000, , ,"52,600", , ,114.9,2,82,1,N, ,2006-04-05
 ,동대문,11110-30,328,17,1966, , ,"14,900", , ,28.8,3,328-17,1,N, ,2006-04-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"20,300", , ,79.87,13,703,1,N, ,2006-04-18
 ,창신쌍용1,11110-37,702,0,1992, , ,"20,000", , ,79.87,4,702,1,N, ,2006-04-23
 ,송림아마레스아파트,11110-121,9,1,2004, , ,"22,000", , ,84.42,3,9-1,1,N, ,2006-04-24
 ,현대,11110-90,82,0,2000, , ,"41,600", , ,84.92,11,82,1,N, ,2006-04-27
 ,세종,11110-13,100,0,1983, , ,"28,000", , ,104.73,3,100,1,N, ,2006-04-25
 ,삼성,11110-73,596,0,1998, , ,"18,400", , ,59.97,14,596,1,N, ,2006-04-11
 ,창신쌍용1,11110-37,702,0,1992, , ,"16,500", , ,54.7,12,702,1,N, ,2006-04-28
 ,창신쌍용1,11110-37,702,0,1992, , ,"23,000", , ,79.87,7,702,1,N, ,2006-04-20
 ,동대문,11110-30,328,17,1966, , ,"14,500", , ,28.8,5,328-17,1,N, ,2006-04-15
 ,현대,11110-90,82,0,2000, , ,"44,700", , ,84.92,16,82,1,N, ,2006-04-21
 ,창신이수,11110-42,23,816,2003, , ,"25,000", , ,84.5,2,23-816,1,N, ,2006-04-28
 ,창신쌍용2,11110-91,703,0,1993, , ,"15,000", , ,64.66,8,703,1,N, ,2006-04-03
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"108,000", , ,150.48,11,72,1,N, ,2006-04-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,200", , ,106.62,5,703,1,N, ,2006-04-13
 ,두산,11110-34,232,0,1999, , ,"22,400", , ,59.95,11,232,1,N, ,2006-04-12
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"15,000", , ,48.54,5,55,1,N, ,2006-04-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"15,000", , ,54.7,12,703,1,N, ,2006-04-03
 ,롯데낙천대,11110-71,72,0,2001, , ,"59,000", , ,110.53,6,72,1,N, ,2006-04-13
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"35,500", , ,103.77,5,95,1,N, ,2006-04-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,000", , ,106.62,4,703,1,N, ,2006-04-11
 ,창신쌍용1,11110-37,702,0,1992, , ,"21,600", , ,79.87,11,702,1,N, ,2006-04-06
 ,창신쌍용1,11110-37,702,0,1992, , ,"16,500", , ,54.7,6,702,1,N, ,2006-04-17
 ,두산,11110-34,232,0,1999, , ,"34,750", , ,84.9,6,232,1,N, ,2006-04-03
 ,창신쌍용1,11110-37,702,0,1992, , ,"15,900", , ,54.7,9,702,1,N, ,2006-04-05
 ,낙원,11110-17,288,0,1968, , ,"12,000", , ,68.89,14,288,1,N, ,2006-04-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"21,500", , ,79.87,7,703,1,N, ,2006-04-01
 ,삼성,11110-73,596,0,1998, , ,"23,500", , ,84.93,15,596,1,N, ,2006-05-08
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"85,000", , ,117.26,11,95,1,N, ,2006-05-11
 ,현대,11110-90,82,0,2000, , ,"34,000", , ,84.92,4,82,1,N, ,2006-05-25
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"74,300", , ,117.26,5,95,1,N, ,2006-05-02
